chapter	verse	consонantal
4	15	שומע לי ישפט אמת ומאזין לי ייחן בחדרי מבית
4	16	כי בהתנכר אלך עמו ולפנים אבחרנו בנסיונות
4	17	ועד עת ימלא לבו בי אשוב אאשרנו וגליתי לו מסתרי
4	18	אם יסור ונטותיהו ואסרתיהו באסורים
4	19	אם יסור מאחרי אשליכנו ואסגירנו לשדדים
4	20	בני עת המון שמר ופחד מרע ואל נפשך אל תבוש
4	21	כי יש בשת משאת עון ויש בשת כבוד וחן
4	22	אל תשא פניך על נפשך ואל תכשל למכשוליך
4	23	אל תמנע דבר בעולם ואל תצפין את חכמתך
4	24	כי באמר נודעת חכמה ותבונה במענה לשון
4	25	אל תסרב עם האל ואל אלהים הכנע
4	26	אל תבוש לשוב מעון ואל תעמוד לפני שבלת
4	27	אל תצע לנבל נפשך ואל תאמן לפני מושלים
4	28	אל תשב עם שופט עול כי כאשר כרצונו תשפוט עמו
4	29	עד המות הנצה על הצדק ויהוה נלחם לך
4	30	אל תקרא בעל שתים ואל לשונך אל תרגל
4	31	אל תהי גבהן בלשונך ורפוי ורשיש במלאכתך
4	32	אל תהי ככלב בביתך ומוזר ומתירא במלאכתך
4	33	אל תהי ידך פתוחה לקחת וקפוצה בתתך מתן
5	1	אל תשען על חילך ואל תאמר יש לאל ידי
5	2	אל תשען על כחך ללכת אחר תאות נפשך
5	3	אל תלך אחרי לבך ועיניך ללכת בחמודות רעה
5	4	אל תאמר מי יוכל כחו כי יהוה מבקש נרדפים
5	5	אל תאמר חטאתי ומה יעשה לי מאומה כי אל ארך אפים הוא
5	6	אל תאמר רחום יהוה וכל עונותי ימחה
5	7	אל סליחה אל תבטח להוסיף עון על עון
5	8	ואמרת רחמיו רבים לרב עונותי יסלח
5	9	כי רחמים ואף עמו ואל רשעים ינוח רגזו
5	10	אל תאחר לשוב אליו ואל תתעבר מיום אל יום
5	11	כי פתאום יצא זעמו ובעת נקם תספה
5	12	אל תבטח על נכסי שקר כי לא יועילו ביום עברה
5	13	אל תהיה זורה לכל רוח ופונה דרך שבלת
5	14	היה סמוך על דעתך ואחד יהי דברך
5	15	היה ממהר להאזין ובארך רוח השב פתגם
5	16	אם יש אתך ענה רעך ואם אין ידך על פיך
5	17	כבוד וקלון ביד בוטא ולשון אדם מפלתו
5	18	אל תקרא בעל שתים ובלשונך אל תרגל רע
5	19	כי על גנב נבראה בשת חרפה רעהו בעל שתים
5	20	מעט והרבה אל תשחת ותחת אוהב אל תהי שונא
6	1	שם רע וקלון תוריש חרפה כן איש רע בעל שתים
6	2	אל תפול ביד נפשך ותעבה חילך עליך
6	3	עליך תאכל ופריך תשרש והניחתך כעץ יבש
6	4	כי נפש עזה תשחית בעליה ושמחת שונא תשיגם
6	5	חך ערב ירבה אוהב ושפתי חן שואלי שלום
6	6	אנשי שלומך יהיו רבים ובעל סודך אחד מאלף
6	7	קנית אוהב בנסיון קנהו ואל תמהר לבטוח עליו
6	8	כי יש אוהב כפי עת ואל יעמוד ביום צרה
6	9	יש אוהב נהפך לשונא ואת ריב חרפתך יחשף
6	10	יש אוהב חבר שלחן ולא ימצא ביום רעה
6	11	בטובתך הוא כמוך וברעתך יתנדה ממך
6	12	אם תשיגך רעה יהפך בך ומפניך יסתר
6	13	משנאיך הבדל ומאהביך השמר
6	14	אוהב אמונה אוהב תקוף ומוצאו מצא הון
6	15	לאוהב אמונה אין מחיר ואין משקל לטובתו
6	16	צרור חיים אוהב אמונה ירא ואל ישיגם
6	17	כי כמוהו כן רעהו וכשמו כן מעשיו
6	18	בני מנעוריך קח לקח ועד שיבה תשיג חכמה
6	19	כחורש וכקוצר קרב אליה וקוה לרב תבואתה כי בעבדתה מעט תעבוד ולמחר תאכל פריה
6	20	עקבה היא לאויל ולא יכלכלנה חסר לב
6	21	כאבן משא תהיה עליו ולא יאחר להשליכה
6	22	כי המוסר בשמה כן היא ולא לרבים היא נכוחה
6	23	כלי יוצר לבער כבשן וכמהו איש על חשבונו
6	24	על עבודת עץ יהי פרי כן חשבון על יצר אחד
6	25	הט שכמך ושאה ואל תקוץ בתחבולותיה
6	27	דרש וחקר בקש ומצא והחזקתה ואל תרפה
6	28	כי לאחור תמצא מנוחתה ותהפך לך לתענוג
6	29	והיתה לך רשתה מכון עז וחבלתיה בגדי כתם
6	30	עלי זהב עלה ומוסרותיה פתיל תכלת
6	31	בגדי כבוד תלבשנה ועטרת תפארת תעטרנה
6	32	אם תחפוץ בני תתחכם ואם תשים לבך תערם
6	33	אם תובא לשמע ותט אזנך תוסר
6	34	כל שיחה חפוץ לשמע ומשל בינה אל יצאך
6	35	ראה מי יבין ושחרהו ותשחוק בספו רגלך
6	36	והתבוננת ביראת עליון ובמצותיו והגה תמיד
6	37	והוא יבין לבך ואשר אויתה יחכמך
7	1	אל תעש רעה ואל ישיגך רעה הרחק מעון ויט ממך
7	2	אל תזרע חרושי עול על אח פן תקצרהו שבעתים
7	3	אל תבקש מאל ממשלת וכן ממלך מושב כבוד
7	4	אל תצטדק לפני מלך ומפני מלך אל תתבונן
7	5	אל תבקש להיות מושל אם אין לך חיל להשבית זדון
7	6	פן תגור מפני נדיב ונתון בצע בתמימיך
7	7	אל תרשיעך בעדת שערי אל ואל תפילך בקהלה
7	8	אל תקשור לשנות חט כי באחת לא תנקה
7	9	אל תאיץ בצבא מלאכת עבדה היא מאל נחלקה
7	10	אל תתקצר בתפלה ובצדקה אל תתעבר
7	11	אל תבז לאנוש במר רוח זכור כי יש מרים ומשפיל
7	12	אל תחרוש חמס על אח וכן על רע וחבר יחדו
7	13	אל תחפץ לכחש על כחש כי תקותו לא תנעם
7	14	אל תסור בעדת שרים ואל תישן דבר בתפלה
7	15	אל תחשובך במתי עם זכור עברון לא יתעבר
7	16	מאד מאד השפיל גאוה כי תקות אנוש רמה
7	17	אל תאיץ לאמר לי פרץ גל אל אל ורצה דרכו
7	18	אל תמיר אוהב במחיר ואח תלוי בזהב אופיר
7	19	אל תמאס אשה משכלת וטובת חן מפנינים
7	20	אל תרע עובד אמת וכן שומר נוחן נפשו
7	21	עבד משכיל חבב כנפש ואל תמנע ממנו חפש
7	22	בהמה לך ראה עיניך ואם אמנה היא העמידה
7	23	בנים לך יסר אותם ושא להם נשים בנעוריהם
7	24	בנות לך נצור שארם ואל תאיר אליהם פנים
7	25	הוצא בת ויצא עסק ואל גבר נבון חברה
7	26	אשה לך אל תתעבה ושנואה אל תאמן בה
7	27	בכל לבך כבד לאביך ואם יולדתך אל תשה
7	28	זכור לולי הם לא באת לעולם ומה אתה עושה להם שהם גומלים לך
7	29	בכל לבך פחד אל ואת כהניו הקדיש
7	30	בכל מאדך אהוב עושך ואת משרתיו לא תעזב
7	31	כבד אל והדר כהן ותן חלקם כאשר צויתה
7	32	לחם אבירים ותרומת יד זבחי צדק ותרומת קדש
7	33	וגם לאביון הושיט יד למען תשלם ברכתך
7	34	תן מתן לפני כל חי וגם ממת אל תמנע חסד
7	35	אל תתאחר מבוכים ועם אבלים תתאבל
7	36	אל תשא לב מאוהב כי ממנו תאהב
7	37	בכל מעשיך זכור אחרית ולעולם לא תשחת
8	1	אל תריב עם איש גדול למה תשום על ידו
8	2	אל תריב עם קשה ממך למה תפול בידו
8	3	אל תחרש על איש לא הון פן ישקל מחירך ואבדת
8	4	כי רבים הפחיז זהב והוא ישגה לב נדיבים
8	5	אל תינץ עם איש לשון ואל תתן על אש עץ
8	6	אל תרגיל איש אויל פן יבוז לנדיבים
8	7	אל תכלים איש שב מפשע זכר כי כלנו חיבים
8	8	אל תביש אנוש ישיש זכר כי תמנה מזקנים
8	9	אל תתהלל על גוע זכר כלנו נאספים
8	10	אל תטש שיחת חכמים ובחידתיהם התרפש
8	11	ואף שיחות חול מהם לא תבזה להתיצב לפני שרים כי ממנו תלמד לקח
8	12	אל תמאס בשמיעת שבים אשר שמעו מאבתם
8	13	כי ממנו תקח שכל בעת צרך להשיב פתגם
8	14	אל תצלח בנחלת רשע פן תבער בשביב אשו
8	15	אל תזוח מפני לץ להושיבו כאורב לפניך
8	16	אל תלוה איש חזק ממך ואם הלוית כמאבד
8	17	אל תערב יתר ממך ואם ערבת כמשלם
8	18	אל תשפט עם שופט כי כרצונו ישפט
8	19	אם אכזרי אל תלך פן תכביד את רעתך
8	20	כי נכח פניו ילך ובאולתו תספה
8	21	עם בעל אף אל תעיז מצח ואל תרכב עמו בדרך
8	22	כי קל בעיניו דמים ובאין מציל ישחיתך
8	23	עם פותה אל תסתיד כי לא יוכל לכסות סודך
8	24	לפני זר אל תעש רז כי לא תדע מה ילד סופו
8	25	לכל בשר אל תגל לבך ואל תדיח מעליך הטובה
9	1	אל תקנא את אשת חיקך פן תלמד עליך רעה
9	2	אל תקנא לאשה נפשך להדריכה על במותיך
9	3	אל תקרב אל אשה זרה פן תפול במצודתיה
9	4	עם זונה אל תסתיד פן תלכד בלקחתיה
9	5	להתנבל במראה עיניך ולשומם אחר ביתה
9	6	עם מנגנות אל תדמוך פן ישרפך בפיפיתם
9	7	בבתולה אל תתבונן פן תוקש בענשיה
9	8	אל תתן לזונה נפשך פן תסב נחלתך
9	9	העלים עין מאשת חן ואל תביט אל יפי לא לך
9	10	בתאר אשה השחתו רבים ועצומים כל הרוגיה וכן אהביה באש תלהט
9	11	עם בעלה אל תטעם ואל תסב עמו שכור
9	12	פן תטה אליה לב ובדמים תטה אל שחת
9	13	אל תטש אוהב ישן כי חדש לא ידמה לו
9	14	יין חדש אוהב חדש וישן אחר אולי תשתינו
9	15	אל תקנא באיש רשע כי לא תדע מה יומו
9	16	אל תקנא בזדון מצליח זכר כי עד מות לא ינקה
9	17	רחק מאיש שליט להרוג ואל תפחד פחדי מות
9	18	ואם קרבת לא תאשם פן תקח את נשמתך
9	19	דע כי בין פחים תצעד ועד רשת תתהלך
9	20	בכחך קנה רעך ועם חכמים תסתיד
9	21	עם נבון יהי חשבונך וכל סודך בינותם
9	22	אנשי צדק בעלי לחמך וביראת אלהים תפארתך
9	23	בחכמי ידים יחשב יושר ומושל בעמו חכם
9	24	בוטה נורא בעיר איש לשון ומשא על פיהו ישנא
10	1	שופט עם יוסד עמו וממשלת מבין סדורה
10	2	מלך פרוע ישחית עיר ועיר נושבת בשכל שריה
10	3	כשופט עם כן מליציו וכראש עיר כן יושביו
10	4	ביד אלהים ממשלת כל גבר ולפני מחוקק ישית הודו
10	5	ביד אלהים ממשלת תבל ואיש לעת יעמוד עליה
10	6	בכל פשע אל תשלם רע לרע ואל תהלך בדרך גאוה
10	7	שנואה לאדון ואנשים גאוה ומשניהם מעל עשק
10	8	מלכות מגוי אל גוי תסב בגלל חמס גאוה
10	9	מה יגאה עפר ואפר אשר בחייו יורם גויו
10	10	שמץ מחלה יצהיב רופא מלך היום ומחר יפול
10	11	במות אדם ינחל רמה ותולעה כנים ורמש
10	12	תחלת גאון אדם מועז ומעשהו יסור לבו
10	13	כי מקוה זדון חטא ומקורה יביע זמה
10	14	על כן מלא לבו אלהים נגע ויכהו עד כלה
10	15	כסא גאים הפך אלהים וישב ענוים תחתם
10	16	עקבות גוים טמטם אלהים ושרשם עד ארץ קעקע
10	17	וסחם מארץ ויתשם וישבת מארץ זכרם
10	18	לא נאוה לאנוש זדון ועזות אף לילוד אשה
10	19	זרע נכבד מה זרע לאנוש זרע נכבד ירא אלהים זרע נכבד שומר מצוה
10	20	זרע נקלה מה זרע לאנוש זרע נקלה עובר מצוה
10	21	בין אחים ראשם נכבד וירא אלהים בעמו
10	22	גר וזר נכרי ורש תפארת יראת אלהים
10	23	אין לבזות דל משכיל ואין לכבד עול אשר הורם
10	24	נגיד מושל ושופט נכבדו ואין גדול מירא אלהים
10	25	עבד משכיל הורם ועבד סכל לא יתאונן
10	26	אל תתחכם לעבוד חפצך ואל תתכבד במועד צרכך
10	27	טוב עובד ויותר הון ממתכבד וחסר מתן
10	28	בני בענוה כבד נפשך ויתן לך טעם וכבוד אבדת
10	29	מרשיע נפשו מי יצדיקנו ומי יכבד מקלה נפשו
10	30	יש דל נכבד בגלל שכלו ויש נכבד בגלל עשרו
10	31	נכבד בעשרו איככה ונקלה בעניו איככה
10	32	המתכבד בדלותו בעשרו מתכבד יתר
10	33	והנקלה בעשרו בדלותו נקלה יותר
11	1	חכמת דל תשא ראשו ובין נדיבים תושיבנו
11	2	אל תהללו אדם בתארו ואל תתעב אדם מכוער במראהו
11	3	אליל בעוף דברה וראש תנובות פריה
11	4	מעטה אבד אל תהתל ואל תקלס במרירי יום
11	5	כי פלאות מעשי יי ונעלם מאדם פעלו
11	6	רבים נדכאים ישבו על כסא ובל עלו על לב עטו צניף
11	7	רבים נשאים נקלו מאד והשפלו יחד וגם נכבדים נתנו ביד
11	8	בטרם תחקור אל תסלף בקר לפנים ואחר תזיף
11	9	בני אל תשיב דבר טרם תשמע ובתוך שיחה אל תדבר
11	10	באין עצבה אל תתחר ובריב זדים אל תקומם
11	11	בני למה תרבה עשקך ואין להרבות לא ינקה
11	12	בני אם לא תרוץ לא תגיע ואם לא תבקש לא תמצא
11	13	יש עמל ויגע ורץ וכדי כן הוא מתאחר
11	14	יש רשש ואבד מהלך חסר כל ויותר איש עני
11	15	ועין יי צפתהו לטוב וינערהו מעפר צחנה
11	16	נשא בראשו וירממהו ויתמהו עליו רבים
11	17	טוב ורע חיים ומות ריש ועשר מיי הוא
11	18	חכמה ושכל והבין דבר מיי הוא חטא ודרכים ישרים מיי הוא
11	19	שכלות וחשך לפושעים נוצרה ומרעים רעה עמם
11	20	מתן צדיק יעמד ליראיו ורצונו יצלח לעד
11	21	יש מתעשר מהתענות וזה יחיב שכרו
11	22	ובעת יאמר מצאתי נחת ועתה אכל מטובתי
11	23	לא ידע מה כי בא חלף ועזבו לאחר ומת
11	24	בני עמוד בחקך ובו התהלך ובמלאכתך התישן
11	25	כהאל תתמה בעושי רע תרוץ ליי וקוה לאורו
11	26	כי נכח בעיני יי בפתע פתאם להעשיר דל
11	27	ברכת אל גורל צדיק ובעת תקותו תפרח
11	28	אל תאמר הנה כי עשיתי חפצי ומה עתה יעזב לי
11	29	אל תאמר דיי לפני מה אסון יהי עלי
11	30	טוב יום תשכח רעה ורע יום תשכח טובה ואחרית אדם תהיה עליו
11	31	עת רעה תשכח תענוג וסוף אדם יגיד עליו
11	32	בטרם תחקר אדם אל תאשרהו כי באחריתו יאשר אדם
11	33	לפני מות אל תאשר גבר כי באחריתו ינכר איש
11	34	מנע רבים מתוך ביתך ולא כל איש להביא אל בית אורבים וכן נוכלים רבים הם
11	35	ומה רבו פצעי רוכל המרגילים לדבר ערוה
11	36	כניצוץ מבעיר גחלת ככלוב מלא עוף כן בתיהם מלאים מרמה
11	37	כעוף אחוז בכלוב לב גאה וכזאב ארב לטרף
11	38	מה ירבו פשעי בוצע ככלב הוא בא לכל בית וחומס
11	39	כן בוצע בא ומשים ריב לכל שבתם
11	40	אורב הרוכל כדוב לבית לצים וכמרגל יראה ערוה
11	41	טוב לרע יהפך נרגן ובמחמדיך יתן קשר
11	42	מניצוץ ירבה גחלת ואיש בליעל לדם יארב
11	43	גור מרע כי רע יוליד למה מום עולם תשא
11	44	לא תדבק לרשע ויסלף דרכך ויהפכך מבריתך
11	45	משכן זריז זהיר דרכך פן יפריע שלותך וינכרך במחמדיך
12	1	אם תטיב תדע למי תטיב ויהי תקוה לטובתך
12	2	היטב לצדיק תמצא תשלומת אם לא ממנו מיהוה
12	3	אין טובה למנח רשע וגם צדקה לא עשה
12	4	פי שנים רעה תשיג בעת צרך בכל טובה תגיע אליו
12	5	כלי לחם אל תתן לו למה בם יקביל אליך
12	6	כי גם אל שונא רעים ולרשעים ישיב נקם
12	7	תן לטוב ומנע מרע הקיר מך ואל תתן לזר
12	8	לא יודע בטובה אוהב ולא יכסה ברעה שונא
12	9	בטובת איש גם שונא רע וברעתו גם רע בודד
12	10	אל תאמין בשונא לעד כי כנחשת רועו יחליא
12	11	וגם אם ישמע לך ויהלך בנחת תן לבך להתירא ממנו
12	12	היה לו כמגלה רז ולא ימצא להשחיתך ודע אחרית קנאה
12	13	אל תעמידהו אצלך למה יהדפך ויעמד תחתיך
12	14	אל תושיבהו לימינך למה יבקש מושבך
12	15	ולאחור תשיג אמרי ולאחותי תתאנח
12	16	מי יוחן חובר נשוך וכל הקרב אל חית שן
12	17	כן חובר אל איש זדון ומתגלל בעונתיו
12	18	לא יעבר עד תבער בו אש
12	19	כאשר יבוא עמך לא יתגלה לך
12	20	ואם תפול לא יפל להצילך
12	21	עד עת מעד לא יופיע ואם תמוט לא יתכלכל
12	22	בשפתיו יתמהמה צר ובלבו יחשוב מהמרות עמוקות
12	23	וגם אם בעיניו ידמיע אויב אם מצא עת לא ישבע דם
12	24	אם רע קראך נמצא שם כאיש סומך יחפש עקב
12	25	ראש יניע והניף ידו ולרובה לחש ישנא פנים
13	1	נוגע בזפת תדבק ידו וחובר אל לץ ילמד דרכו
13	2	כבד ממך מה תשא ואל עשיר ממך מה תתחבר ב מה יחבר פרור אל סיר אשר הוא נוקש בו והוא נשבר ב או מה יחבר עשיר אל דל
13	3	עשיר יעוה הוא יתנוה ואם דל יעוה הוא יתחנן
13	4	אם תכשר לו יעבד בך ואם תכרע לא יחמל עליך
13	5	אם שלך ייטיב דבריו עמך וירששך ולא יכאב לו
13	6	צרך לו עמך והשיע לך ושוחק לך והבטיחך
13	7	עד אשר תועיל יהתל בך פעמים שלש יעריצך ז ובכן יראך להתעבר בך ובראשו יניע אליך
13	8	השמר אל תרהב מאד ואל תדמה בחסירי מדע
13	9	קרב נדיב היה רחוק וכדי כן יגישך
13	10	אל תתקרב פן תתרחק ואל תתרחק פן תשנא
13	11	אל תבטח לחפש עמו ואל תאמין לרב שיחו יא כי מרבית שיחו נסיון ושחק לך וחקרך
13	12	אכזרי יתן כשל ולא יחמול על נפש רבים קושר קשר
13	13	השמר והיה זהיר ואל תתהלך עם אנשי חמס
13	14	כל הבשר יאהב מינו וכל אדם את הדומה לו
13	15	מין כל בשר אצלו ואל מינו יחבר אדם
13	16	מה יחבר זאב אל כבש כך רשע לצדיק וכן עשיר אל איש נאצל
13	17	מאין שלום צבוע אל כלב מאין שלום עשיר אל רש
13	18	מאכל ארי פראי מדבר כן מרעית עשיר דלים
13	19	תועבת גאוה ענוה ותועבת עשיר אביון
13	20	עשיר מוט נסמך מרע ודל נמוט נדחה מרע אל רע
13	21	עשיר מדבר ועוזריו רבים ודבריו מכוערין מיופין
13	22	דל נמוט מדבר גע גע ישא ודבר משכיל ואין לו מקום
13	23	עשיר דובר הכל נסכתו ואת שכלו עד עב יגיעו
13	24	דל דובר מי זה יאמרו ואם נתקל גם הם יהדפוהו
13	25	טוב העשר אם אין עון ורע העוני על פי זדון
13	26	לב אנוש ישנא פניו אם לטוב ואם לרע
13	27	עקבות לב טוב פנים אורים ושיג ושיח מחשבת עמל
14	1	אשרי אנוש לא עזבו פיהו ולא אבח עליו דין לבו
14	2	אשרי איש לא חסדתו נפשו ולא שבתה תוחלתו
14	3	ללב קטן לא נאוה עשר ולאיש רע עין לא נאוה חרוץ
14	4	מונע לנפשו יקבץ לאחר ובטובתו יתבעבע זר
14	5	רע לנפשו למי ייטיב ולא יראה בטובתו
14	6	רע לנפשו אין רע ממנו ועמו תשלומת רעתו
14	9	בעין כושל מעט הוא חלקו ולוקח חלק רעהו מאבד חלקו
14	10	עין רע עין תעיט על לחם ומהומה על שלחנו י עין טובה מרבה הלחם ומעין יבש יזל מים על השלחן
14	11	בני אם יש לך שרית נפשך ואם יש לך היטיב לך
14	12	ולאל ידך הדשן זכור כי לא בשאול תענוג יב ולא מות יתמהמה וחק לשאול לא הגד לך
14	13	בטרם תמות היטב לאוהב והשיגת ידך תן לו
14	14	אל תמנע מטובת יום ואל תמנע מטובה נפשך יד ובהלקח אח אל תעבר וחמוד רע אל תחמד
14	15	הלא לאחר תעזוב חילך ויגיעך ליודי גורל
14	16	תן לאח וחנן ופנק נפשך כי אין בשאול לבקש תענוג טז וכל דבר שיפה לעשות לפני אלהים עשה
14	17	כל הבשר כבגד יבלה וחק עולם גוע יגועו
14	18	כפרח עלה על עץ רענן שזה נובל ואחר צומח יח כן דורות בשר ודם אחד גוע ואחד גומל
14	19	כל מעשיו רקוב ירקבו ופעל ידיו ימשך אחריו
14	20	אשרי אנוש בחכמה יהגה ובתבונה ישעה
14	21	השם על דרכיה לבו ובתבונתיה יתבונן
14	22	לצאת אחריה בחקר וכל מבואיה ירצד
14	23	המשקיף בעד חלונה ועל פתחיה יצותת
14	24	החונה סביבות ביתה והביא יתדיו בקירה
14	25	ונוטה אהלו על ידה ושכן שכן טוב
14	26	וישים קנו בעפיה ובענפיה יתלונן
14	27	וחוסה בצלה מחרב ובמעונותיה ישכן
15	1	כי ירא יהוה יעשה זאת ותופש תורה ידריכנה
15	2	וקדמתהו כאם וכאשת נעורים תקבלנו
15	3	והאכילתהו לחם שכל ומי תבונה תשקנו
15	4	ונשען עליה ולא ימוט ובה יבטח ולא יבוש
15	5	ורוממתהו מרעהו ובתוך קהל תפתח פיו
15	6	ששון ושמחה ימצא ושם עולם תורישנו
15	7	לא ידריכוה מתי שוא ואנשי זדון לא יראוה
15	8	רחוקה היא מלצים ואנשי כזב לא יזכרוה
15	9	לא נאתה תהלה בפי רשע כי לא מאל נחלקה לו
15	10	בפה חכם תאמר תהלה ומשל בה ילמדנה
